,id,displayName,totalConfirmed,totalDeaths,totalRecovered,totalRecoveredEntryday,totalDeathsEntryday,totalConfirmedEntryday,entryDatetime,lattitude,longitude,parentId
156,eritrea,ইরিত্রিয়া,34,0,0,0,0,1,2020-04-12 06:26:20,15.359945297241211,38.845680236816406,world
157,haiti,হাইতি,33,3,0,0,1,2,2020-04-12 06:26:20,18.933517456054688,-72.67459106445312,world
158,tanzania,তাঞ্জানিয়া,32,3,5,0,2,7,2020-04-12 06:26:20,-6.267545223236084,34.81095886230469,world
159,myanmar,মায়ানমার,31,3,2,0,0,4,2020-04-12 06:26:20,21.18514633178711,96.51920318603516,world
160,libya,লিবিয়া,25,1,8,0,0,1,2020-04-12 06:26:20,27.041829,18.030819,world
161,syria,সিরিয়া,25,2,5,1,0,6,2020-04-12 06:26:20,35.024819,38.521849,world
162,antiguaandbarbuda,এন্টিগুয়া ও বারবুডা,21,2,0,0,1,2,2020-04-12 06:26:20,17.077665328979492,-61.798709869384766,world
163,somalia,সোমালিয়া,21,1,1,0,0,9,2020-04-12 06:26:20,6.5336451,48.0761719,world
164,mozambique,মোজাম্বিক,20,0,2,1,0,3,2020-04-12 06:26:20,-17.2731990814209,35.5474853515625,world
165,angola,অ্যাঙ্গোলা,19,2,2,0,0,0,2020-04-12 06:26:20,-12.332923889160156,17.572837829589844,world
166,sudan,সুদান,19,2,2,0,0,5,2020-04-12 06:26:20,15.983182,29.949295,world
167,maldives,মালদ্বীপ,19,0,13,0,0,0,2020-04-12 06:26:20,1.9123070240020752,73.54009246826172,world
168,equatorialguinea,নিরক্ষীয় গিনি,18,0,3,0,0,0,2020-04-12 06:26:20,1.5670069456100464,10.465889930725098,world
169,newcaledonia,নিউ ক্যালেডোনিয়া,18,0,1,0,0,0,2020-04-12 06:26:20,-21.32696533203125,165.4899444580078,world
170,laos,লাওস,18,0,0,0,0,2,2020-04-12 06:26:20,18.49555778503418,103.76795959472656,world
171,fiji,ফিজি,16,0,0,0,0,1,2020-04-12 06:26:20,-17.83541488647461,177.96334838867188,world
172,dominica,ডোমিনিকা,16,0,5,5,0,1,2020-04-12 06:26:20,15.434657096862793,-61.350074768066406,world
173,mongolia,মঙ্গোলিয়া,16,0,11,0,0,0,2020-04-12 06:26:20,46.83469009399414,103.06763458251953,world
174,namibia,নামিবিয়া,16,0,2,0,0,0,2020-04-12 06:26:20,-22.139442443847656,17.221797943115234,world
175,saintlucia,সেন্ট লুসিয়া,15,0,0,0,0,1,2020-04-12 06:26:20,13.898548126220703,-60.967308044433594,world
176,curaao,কিউরাসাও,14,1,7,0,0,0,2020-04-12 06:26:20,12.192387580871582,-68.97064971923828,world
177,grenada,গ্রেনাডা,14,0,0,0,0,2,2020-04-12 06:26:20,12.113840103149414,-61.683753967285156,world
178,zimbabwe,জিম্বাবোয়ে,14,3,0,0,0,1,2020-04-12 06:26:20,-19.000457763671875,29.871837615966797,world
179,botswana,বতসোয়ানা,13,1,0,0,0,0,2020-04-12 06:26:20,-22.18724250793457,23.814544677734375,world
180,belize,বেলিজ,13,2,11,3,0,3,2020-04-12 06:26:20,17.20055389404297,-88.70706939697266,world
181,eswatini,ইসওয়াতিনি,12,0,7,0,0,0,2020-04-12 06:26:20,-26.56521987915039,31.498117446899414,world
182,malawi,মালাউই,12,2,0,0,1,3,2020-04-12 06:26:20,-13.360275268554688,34.29304504394531,world
183,chad,চাদ,11,0,9,0,0,0,2020-04-12 06:26:20,15.36843490600586,18.667133331298828,world
184,greenland,গ্রীনল্যান্ড,11,0,11,0,0,0,2020-04-12 06:26:20,74.75581359863281,-41.3941650390625,world
185,seychelles,সেশেল্স,11,0,0,0,0,0,2020-04-12 06:26:20,-4.6786580085754395,55.4672966003418,world
186,northernmarianaislands,উত্তরাঞ্চলীয় মারিয়ানা দ্বীপপুঞ্জ,11,2,0,0,0,0,2020-04-12 06:26:20,15.188824653625488,145.75350952148438,world
187,sierraleone,সিয়েরালিওন,10,0,0,0,0,2,2020-04-12 06:26:20,8.548967361450195,-11.80417537689209,world
188,suriname,সুরিনাম,10,1,4,0,0,0,2020-04-12 06:26:20,4.1390700340271,-55.91132736206055,world
189,nepal,নেপাল,9,0,1,0,0,0,2020-04-12 06:26:20,28.259138107299805,83.94416046142578,world
190,montserrat,মন্টসেরাট,9,0,0,0,0,1,2020-04-12 06:26:20,16.739171981811523,-62.18928146362305,world
191,centralafricanrepublic,মধ্য আফ্রিকার প্রজাতন্ত্র,8,0,0,0,0,0,2020-04-12 06:26:20,6.57574987411499,20.48409080505371,world
192,caboverde,কেপভার্দে,8,1,0,0,0,1,2020-04-12 06:26:20,15.08362865447998,-23.624671936035156,world
193,vaticancity,ভ্যাটিকান সিটি,8,0,2,0,0,0,2020-04-12 06:26:20,41.90339660644531,12.452831268310547,world
194,turksandcaicosislands,তুর্কস ও কাইকোস দ্বীপপুঞ্জ,8,1,0,0,0,0,2020-04-12 06:26:20,21.77568244934082,-71.7576675415039,world
195,nicaragua,নিকারাগুয়া,7,1,2,0,0,0,2020-04-12 06:26:20,12.844159,-85.03197,world
196,mauritania,মরিতানিয়া,7,1,2,0,0,0,2020-04-12 06:26:20,20.258419036865234,-10.331938743591309,world
197,saintbarthelemy,সেন্ট বারথেলিমি,6,0,1,0,0,0,2020-04-12 06:26:20,17.90167236328125,-62.82939147949219,world
198,falklandislands,ফকল্যান্ড আইল্যান্ডস,5,0,0,0,0,0,2020-04-12 06:26:20,-51.745506286621094,-58.75210952758789,world
199,bhutan,ভুটান,5,0,2,0,0,0,2020-04-12 06:26:20,27.416879653930664,90.43476104736328,world
200,gambia,গাম্বিয়া,4,1,2,0,0,0,2020-04-12 06:26:20,13.446971893310547,-15.422768592834473,world
201,southsudan,দক্ষিণ সুদান,4,0,0,0,0,1,2020-04-12 06:26:20,7.283548831939697,30.326135635375977,world
202,sotomandprncipe,সাওটোমা ও প্রিন্সিপি,4,0,0,0,0,0,2020-04-12 06:26:20,0.23931099474430084,6.602059841156006,world
203,burundi,বুরুন্ডি,3,0,0,0,0,0,2020-04-12 06:26:20,-3.367311954498291,29.8881893157959,world
204,britishvirginislands,ব্রিটিশ ভার্জিন দ্বীপপুঞ্জ,3,0,0,0,0,0,2020-04-12 06:26:20,18.42353630065918,-64.62605285644531,world
205,anguilla,এ্যাঙ্গুইলা,3,0,0,0,0,0,2020-04-12 06:26:20,18.21481704711914,-63.05470275878906,world
206,papuanewguinea,পাপুয়া নিউ গিনি,2,0,0,0,0,0,2020-04-12 06:26:20,-6.613677024841309,144.26144409179688,world
207,timorleste,তিমুর-লেস্তে,2,0,0,0,0,1,2020-04-12 06:26:20,-8.797422409057617,125.9454116821289,world
208,yemen,ইয়েমেন,1,0,0,0,0,0,2020-04-12 06:26:20,15.934554100036621,47.54685592651367,world
209,saintpierreandmiquelon,সেন্ট পিয়ের ও মিকুয়েলন,1,0,0,0,0,0,2020-04-12 06:26:20,46.951499938964844,-56.324745178222656,world
210,saba,Saba,1,0,0,0,0,0,2020-04-12 06:26:20,17.63150978088379,-63.23771286010742,world
