,id,displayName,totalConfirmed,totalDeaths,totalRecovered,totalRecoveredEntryday,totalDeathsEntryday,totalConfirmedEntryday,entryDatetime,lattitude,longitude,parentId
201,papuanewguinea,পাপুয়া নিউ গিনি,7,0,1,0,0,0,2020-04-18 07:18:02,-6.613677024841309,144.26144409179688,world
202,saintbarthelemy,সেন্ট বারথেলিমি,6,0,4,0,0,0,2020-04-18 07:18:02,17.90167236328125,-62.82939147949219,world
203,bhutan,ভুটান,5,0,2,0,0,0,2020-04-18 07:18:02,27.416879653930664,90.43476104736328,world
204,burundi,বুরুন্ডি,5,1,4,4,0,0,2020-04-18 07:18:02,-3.367311954498291,29.8881893157959,world
205,britishvirginislands,ব্রিটিশ ভার্জিন দ্বীপপুঞ্জ,4,0,2,2,0,1,2020-04-18 07:18:02,18.42353630065918,-64.62605285644531,world
206,southsudan,দক্ষিণ সুদান,4,0,0,0,0,0,2020-04-18 07:18:02,7.283548831939697,30.326135635375977,world
207,sotomandprncipe,সাওটোমা ও প্রিন্সিপি,4,0,0,0,0,0,2020-04-18 07:18:02,0.23931899666786194,6.602056980133057,world
208,anguilla,এ্যাঙ্গুইলা,3,0,1,1,0,0,2020-04-18 07:18:02,18.21481704711914,-63.05470275878906,world
209,saba,Saba,2,0,0,0,0,0,2020-04-18 07:18:02,17.63150978088379,-63.23771286010742,world
210,bonaire,বোনাইরে,1,0,0,0,0,0,2020-04-18 07:18:02,12.185541152954102,-68.29056549072266,world
211,saintpierreandmiquelon,সেন্ট পিয়ের ও মিকুয়েলন,1,0,0,0,0,0,2020-04-18 07:18:02,46.951499938964844,-56.324745178222656,world
212,yemen,ইয়েমেন,1,0,0,0,0,0,2020-04-18 07:18:02,15.934554100036621,47.54685592651367,world
