,0,1,2,3
0,Updated on 12-04-2020,IEDCR lab,Other lab,Total
1,COVID-19 test conducted in last 24 hours,209,1131,1340
2,Total COVID-19 test conducted,3384,6269,9653
3,COVID-19 positive cases in last 24 hours,44,95,139
4,COVID-19 Total cases,316,305,621
